sample_id,split,label,logit_confidence,answer_token_count_used
ragtruth_0,train,0,0.43287771940231323,136
ragtruth_1,train,0,0.44633427262306213,159
ragtruth_100,train,0,0.5314347743988037,46
ragtruth_1000,train,1,0.395932137966156,147
ragtruth_10000,train,1,0.46502646803855896,232
ragtruth_10001,train,1,0.4608190655708313,198
ragtruth_10002,train,0,0.40764597058296204,149
ragtruth_10003,train,0,0.4175315797328949,258
ragtruth_10004,train,1,0.4470890462398529,135
ragtruth_10005,train,0,0.3989815413951874,166
ragtruth_1002,test,0,0.5270985960960388,118
ragtruth_1003,test,0,0.50960773229599,120
ragtruth_1004,test,1,0.5095372200012207,136
ragtruth_1005,test,0,0.5116466879844666,101
ragtruth_1006,test,0,0.4443170130252838,134
ragtruth_1007,test,0,0.5816735029220581,215
ragtruth_10092,test,0,0.39588847756385803,152
ragtruth_10093,test,0,0.4342164099216461,279
ragtruth_10094,test,1,0.4142422080039978,81
ragtruth_10095,test,1,0.42054057121276855,143
