layer,component,auroc
0,self_attn,0.5018750000000001
0,mlp,0.719375
1,self_attn,0.37625000000000003
1,mlp,0.573125
2,self_attn,0.5525
2,mlp,0.5018750000000001
3,self_attn,0.5462499999999999
3,mlp,0.576875
4,self_attn,0.57875
4,mlp,0.5725
5,self_attn,0.48562500000000003
5,mlp,0.625625
6,self_attn,0.395625
6,mlp,0.57875
7,self_attn,0.5331250000000001
7,mlp,0.6075
8,self_attn,0.399375
8,mlp,0.49875
9,self_attn,0.49312500000000004
9,mlp,0.56125
10,self_attn,0.40875
10,mlp,0.594375
11,self_attn,0.5475
11,mlp,0.44749999999999995
12,self_attn,0.526875
12,mlp,0.5537500000000001
13,self_attn,0.50375
13,mlp,0.53875
14,self_attn,0.52625
14,mlp,0.540625
15,self_attn,0.48375
15,mlp,0.560625
16,self_attn,0.5775
16,mlp,0.56375
17,self_attn,0.58625
17,mlp,0.504375
18,self_attn,0.6025
18,mlp,0.604375
19,self_attn,0.52875
19,mlp,0.6062500000000001
20,self_attn,0.528125
20,mlp,0.5625
21,self_attn,0.599375
21,mlp,0.56875
22,self_attn,0.625
22,mlp,0.556875
23,self_attn,0.5975
23,mlp,0.58
